厂名,注册资本,地址,产品,批准编号
湖北康宁防护用品有限公司,80万(元),-,一次性使用医用口罩,鄂械注准20162642259
湖北卓亚医疗器械有限公司,1,558万(元),武汉市东西湖区慈惠办事处惠安大道766号圣韩工业园3栋3楼（8）,医用外科口罩,鄂械注准20202142864
湖北卓亚医疗器械有限公司,1,558万(元),武汉市东西湖区慈惠办事处惠安大道766号圣韩工业园3栋3楼（8）,一次性使用医用口罩,鄂械注准20202142862
湖北华强科技有限责任公司,24,234.68万(元),湖北省宜昌市猇亭区先锋路18号,一次性使用医用口罩,鄂械注准20202142915
湖北仙盟卫生防护用品有限公司,1,000万(元),湖北省仙桃市陈场镇工业一路,一次使用医用口罩,鄂械注准20132641902
湖北中宝防护用品有限公司,100万(元),仙桃市沙咀办事处骑尾村,一次性使用普通医用口罩,鄂械注准20142641434
湖北万里防护用品有限公司,1,000万(元),湖北省仙桃市西流河镇塘湾街,一次性使用医用口罩,鄂械注准20182142554
深圳市腾他抗菌纺织品有限公司,100万(元),深圳市大鹏新区葵涌办事处葵新社区金业路92号知己集团A005101,医用护理口罩,粤械注准20152641258
深圳市宇冠医疗器械有限公司,200万(元),深圳市龙岗区横岗街道四联社区228工业区前程路2号C栋401,医用外科口罩,粤械注准20162640422
深呼吸创造智能科技（天津）有限公司,520.83万(元),天津市滨海新区临港经济区渤海十路东侧泰港工业园2号厂房,一次性医用外科口罩,津械注准20202140835
深呼吸创造智能科技（天津）有限公司,520.83万(元),天津市滨海新区临港经济区渤海十路东侧泰港工业园2号厂房,一次性使用医用口罩,津械注准20202140834
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用防护口罩,粤械注准20152641326
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用防护口罩,粤械注准20162640766
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用防护口罩,粤械注准20152641326（变更文件）
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用防护口罩,粤械注准20162640766（变更文件）
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用外科口罩,粤械注准20192140768
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山新区坑梓办事处龙田社区龙田三路3号,医用外科口罩,粤食药监械（准）字2014第2641166号（变更文件）
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,医用外科口罩,粤械注准20192140768（变更文件）
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,一次性使用医用口罩,粤械注准20162641272（变更文件）
深中海医疗用品（深圳）有限公司,78万(美元),深圳市坪山区龙田街道龙田三路8 号3 栋三层/二层B,一次性使用医用口罩,粤械注准20162641272
淮安市中兴医药科技有限公司,4,000万(元),淮安区经济开发区山阳大道33-8号,一次性使用无纺布医用口罩,苏械注准20172641053
淄博创奇医疗用品有限公司,1,000万(元),淄博市高新区青龙山路9009号仪器仪表产业园16号厂房A区第一、二层,一次性使用医用口罩,鲁械注准20202140196
淄博兴华医用器材有限公司,1,030万(元),周村区北郊镇白家村梅河工业园,医用外科口罩,鲁械注准20182640077
涿州福美神盾生物科技有限公司,200万(元),涿州市范阳东路141号,医用防护口罩,冀械注准20172640230
涿州福美神盾生物科技有限公司,200万(元),涿州市范阳东路141号,医用防护口罩,冀械注准20172640229
涿州福美神盾生物科技有限公司,200万(元),涿州市范阳东路141号,医用防护口罩,冀食药监械（准）字2014第2640052号
涿州华诺救生装备有限公司,500万(元),涿州市开发区万达工贸小区,一次性使用医用口罩,冀械注准20202140076
润美纸业(福建)有限公司,3,500万(元),福建省漳州市龙文区北环城路163号,医用外科口罩(无菌型和非无菌型),闽械注准20202140154（临时）
润美纸业(福建)有限公司,3,500万(元),福建省漳州市龙文区北环城路163号,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140019（临时）
海杰亚（北京）医疗器械有限公司,7,939.7922万(元),北京市海淀区北清路103号2幢一层101-1102，北京市顺义区天竺空港工业区B区裕华路30号安泰科技8号楼6层西侧A601室-609室,一次性使用医用外科口罩,京械注准20202140136
海宁爱康医疗科技有限公司,500万(元),-,医用外科口罩,浙械注准20172641164
海宁爱康医疗科技有限公司,500万(元),-,一次性使用医用口罩,浙械注准20172641165
海口市制药厂有限公司,56,235.2031万(元),海南省海口市秀英区南海大道192号,一次性使用医用口罩,琼械注准20202140010
海口市制药厂有限公司,56,235.2031万(元),海南省海口市秀英区南海大道192号,一次性使用医用外科口罩,琼械注准20202140009
海南维力医疗科技开发有限公司,7,000万(元),海口国家高新区美安生态科技新城美安三街39号,一次性使用医用口罩,琼械注准20202140012
海南维力医疗科技开发有限公司,7,000万(元),海口国家高新区美安生态科技新城美安三街39号,医用外科口罩,琼械注准20202140011
海南新阳光药械有限公司,500万(元),海口市金盘工业区建设三横路金马大厦4H,普通医用品罩（医用护理口罩）,琼械注准20162640014
海南众森生物科技有限公司,-,海口市龙华区南海大道100号美国工业村2-8单元厂房,一次性使用医用口罩,琼械注准20202140014
浩宁实业（沈阳）有限公司,2,000万(元),辽宁省沈阳市苏家屯区桂竹香街68-E1号,医用口罩,辽械注准20202140008
浩宁实业（沈阳）有限公司,2,000万(元),辽宁省沈阳市苏家屯区桂竹香街68-E1号,医用外科口罩,辽械注准20202140017
浩宁实业（沈阳）有限公司,2,000万(元),辽宁省沈阳市苏家屯区桂竹香街68-E1号,一次性使用医用口罩,辽械注准20202140118
浙江银达生物技术有限公司,1,000万(元),浙江省东阳经济开发区长松岗功能区湖莲东街1223号,医用外科口罩,浙械注准20202141064
浙江银达生物技术有限公司,1,000万(元),浙江省东阳经济开发区长松岗功能区湖莲东街1223号,一次性使用医用口罩,浙械注准20202141065
浙江邦立医药用品有限公司,800万(元),浙江省金华市永康市城西新区月桂南路118号,一次性使用医用口罩,浙械注准20202141034
浙江邦立医药用品有限公司,800万(元),浙江省金华市永康市城西新区月桂南路118号,医用外科口罩,浙械注准20202141006
浙江蓝禾医疗用品有限公司,1,111.11万(元),浙江省慈溪市慈东滨海区慈东大道1989号,一次性使用医用口罩,浙械注准20202141007
浙江蓝禾医疗用品有限公司,1,111.11万(元),浙江省慈溪市慈东滨海区慈东大道1989号,医用外科口罩,浙械注准20192140176
浙江红雨医药用品有限公司,2,000万(元),义乌市佛堂镇工业功能区禅花路668号,医用外科口罩,浙械注准20202141009
浙江红雨医药用品有限公司,2,000万(元),义乌市佛堂镇工业功能区禅花路668号,一次性使用医用口罩,浙械注准20202141020
浙江科瑞医药科技有限公司,1,000万(元),浙江省东阳市江北街道兴隆路5号,一次性使用医用口罩,浙械注准20202141051
浙江睿丁生物科技有限公司,1,000万(元),浙江省衢州市柯城区双港街道曙光路6号1幢2号,医用外科口罩,浙械注准20202141068
浙江益立控股有限公司,5,000万(元),浙江省新昌县儒岙镇横渡桥568号,一次性使用医用口罩,浙械注准20202141037
浙江珍琦护理用品有限公司,1,000万(美元),浙江省杭州市富阳区新登镇松溪村松溪街318号第4幢,医用外科口罩,浙械注准20202141075
浙江珍琦护理用品有限公司,1,000万(美元),浙江省杭州市富阳区场口镇盘龙山路6号,一次性使用医用口罩,浙械注准20202141042
浙江川本卫生材料有限公司,3,600万(元),-,医用外科口罩,浙械注准20172640164
浙江家萱卫生用品有限公司,1,000万(元),浙江省台州市开发区白云街道经中路568号六幢南四层-2,一次性使用医用口罩,浙械注准20202141078
浙江实达皮革服饰有限公司,151万(美元),浙江省金华市婺城区汤溪镇金西经济开发区浙江实达皮革服饰有限公司厂区内2幢1层、3层,一次性使用医用口罩,浙械注准20202141052
浙江安普森医疗器械有限公司,-,海盐县西塘桥街道海塘工业园区2幢,普通医用口罩,浙械注准20202140061
浙江宇安医疗科技有限公司,-,浙江省江山市虎山街道麻车村荷花塘63号,医用外科口罩,浙械注准20202141046
浙江天使医疗器械有限公司,1,000万(元),浙江省金华市婺城区大黄山工业区积道街338号,一次性使用医用口罩,浙械注准20202141073
浙江佰意智造服饰有限公司,5,800万(元),浙江省衢州市柯城区航埠镇凤山一路1号,一次性使用医用口罩,浙械注准20202141053
浙江伊鲁博生物科技有限公司,1,800万(元),浙江省湖州市德清县阜溪街道逸仙路172号2号楼3层、3号楼5层,医用外科口罩,浙械注准20202141001
浙江伊鲁博生物科技有限公司,1,800万(元),-,一次性使用医用口罩,浙械注准20162640370
济宁市健达医疗器械科技有限公司,500万(元),济宁经济开发区新西外环南路健达工业园,医用外科口罩,鲁械注准20182640061
济南顺意康医疗器材厂(普通合伙企业),100万(元),济南市长清区济南经济开发区南园府前街1106号,医用外科口罩,鲁械注准20182640047
洪湖市明星医疗器械有限公司,-,洪湖市大同湖管理区同荆路,医用外科口罩,鄂械注准20172642474
津威士（天津）科技有限公司,1,000万(元),天津市西青区张家窝镇丰泽道52号-1,一次性医用外科口罩,津械注准20202140827
洛阳科维生物科技有限公司,1,000万(元),中国（河南）自由贸易试验区洛阳片区高新区三山路007号,一次性使用医用口罩,豫械注准20202140077
洛阳科利健科技有限公司,200万(元),河南省洛阳市伊滨区佃庄镇黄庄村西1001米,一次性使用医用口罩,豫械注准20202140064
洁宝日化（湘西）有限责任公司,5,150万(元),湖南省湘西经济开发区广州工业园产业中心A栋标准厂房一楼,医用外科口罩（非无菌型）,湘械注准20202140695
洁宝日化（湘西）有限责任公司,5,150万(元),湖南省湘西经济开发区广州工业园产业中心A栋标准厂房一楼,一次性使用医用口罩（非无菌型）,湘械注准20202140291
泰州市瑞雪医疗用品有限公司,561万(元),泰州市海陵区苏陈镇工业集中区,一次性使用医用口罩,苏械注准20172641863
泰安金豪高分子材料有限公司,100万(元),山东省泰安市高新区配天门大街1656号7号南门,医用口罩,鲁械注准20202140209
泰安金豪高分子材料有限公司,100万(元),山东省泰安市高新区配天门大街1656号7号南门,医用外科口罩,鲁械注准20202140208
泉州市盛达医用卫生材料有限公司,528万(元),福建省泉州市惠安县黄塘镇汾阳一路6号2号楼三层、四层,一次性使用医用外科口罩(非无菌型),闽械注准20202140040（临时）
泉州市盛达医用卫生材料有限公司,528万(元),1）泉州市惠安县辋川镇更新大道73号2）泉州市丰泽区北峰街道丰惠路19号,一次性使用医用口罩,闽械注准20192140086
泉州市百利医疗用品有限公司,1,000万(元),福建省泉州市台商投资区张坂镇后灵海大道168号1#厂房,一次性使用医用口罩(无菌型和非无菌型),闽械注准20202140171（临时）
